2025-06-16T23:57:07.656289,angry
2025-06-16T23:57:11.541991,sad
2025-06-16T23:57:14.723904,sad
2025-06-16T23:57:18.269434,sad
2025-06-16T23:57:21.392121,sad
2025-06-16T23:57:24.675478,sad
2025-06-16T23:57:27.776055,sad
2025-06-16T23:57:30.870878,sad
2025-06-16T23:57:34.277101,sad
2025-06-16T23:57:37.472769,sad
2025-06-16T23:57:40.809283,sad
2025-06-16T23:57:43.816293,sad
2025-06-16T23:57:46.992187,fear
2025-06-16T23:57:50.081535,neutral
2025-06-16T23:57:53.314101,neutral
2025-06-16T23:57:56.445010,happy
2025-06-16T23:57:59.470414,neutral
2025-06-16T23:58:02.406925,angry
2025-06-16T23:58:05.645270,angry
2025-06-16T23:58:08.776901,sad
2025-06-16T23:58:11.956058,neutral
2025-06-16T23:58:14.971190,sad
2025-06-16T23:58:18.170324,neutral
2025-06-16T23:58:21.344769,neutral
2025-06-16T23:58:24.491607,neutral
2025-06-16T23:58:27.781947,happy
2025-06-16T23:58:31.381378,sad
2025-06-16T23:58:35.179098,neutral
2025-06-16T23:58:39.220387,neutral
2025-06-16T23:58:42.572178,neutral
2025-06-16T23:58:45.890091,neutral
2025-06-16T23:58:49.286608,sad
2025-06-16T23:58:52.911057,sad
2025-06-16T23:58:56.064887,happy
